上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"5011","久陽","14.56","0.53","2.66","1.49"
"5013","強新","12.25","0.60","2.47","1.34"
"5014","建錩","N/A","0.00","0.00","0.68"
"5015","華祺","7.64","2.00","8.70","1.28"
"5016","松和","12.65","1.20","5.07","1.05"
"5102","富強","17.50","0.70","5.00","1.03"
"5201","凱衛","20.08","1.10","8.84","1.07"
"5202","力新","38.45","0.00","0.00","1.86"
"5205","漢康","N/A","0.00","0.00","8.01"
"5206","坤悅","3.42","0.50","5.00","0.70"
"5209","新鼎","11.90","2.53","6.52","1.71"
"5210","寶碩","N/A","0.00","0.00","0.53"
"5211","蒙恬","27.26","0.59","2.96","1.18"
"5212","凌網","24.74","0.75","3.89","1.85"
"5213","亞昕","14.95","1.20","8.54","0.71"
"5227","立凱-KY","N/A","0.00","0.00","3.08"
"5230","雷笛克光學","15.04","1.60","3.86","1.40"
"5245","智晶","28.83","2.37","1.66","7.07"
"5251","天鉞電","16.11","2.00","6.75","1.23"
"5255","美桀","48.65","0.00","0.00","1.08"
"5263","智崴","78.88","2.50","1.14","3.70"
"5272","笙科","47.05","2.02","5.50","2.07"
"5274","信驊","28.18","8.00","2.58","8.26"
"5276","達輝-KY","12.62","2.00","8.57","1.31"
"5278","尚凡","N/A","0.00","0.00","2.39"
"5281","大峽谷-KY","9.63","0.53","2.18","1.27"
"5284","jpp-KY","13.92","3.08","4.67","1.89"
"5287","數字","19.10","12.00","5.04","5.03"
"5289","宜鼎","11.20","5.00","4.83","2.68"
"5291","邑昇","38.94","0.30","2.33","0.62"
"5301","寶得利","305.50","0.50","1.64","1.95"
"5302","太欣","N/A","0.00","0.00","0.50"
"5304","鼎創達","N/A","0.00","0.00","1.07"
"5306","桂盟","19.26","2.50","2.17","3.31"
"5309","系統電","4.51","0.00","0.00","1.41"
"5310","天剛","65.50","0.30","1.15","2.06"
"5312","寶島科","12.13","3.60","4.75","1.93"
"5314","世紀","N/A","0.00","0.00","0.96"
"5315","光聯","8.29","0.00","0.00","2.84"
"5317","凱美","N/A","0.00","0.00","1.13"
"5321","友銓","32.54","0.00","0.00","3.46"
"5324","士開","N/A","0.00","0.00","1.36"
"5328","華容","11.28","0.00","0.00","0.59"
"5340","建榮","N/A","0.00","0.00","0.68"
"5344","立衛","N/A","0.00","0.00","0.70"
"5345","天揚","7.16","0.30","3.25","0.98"
"5347","世界","21.46","2.60","4.79","3.09"
"5348","系通","N/A","0.00","0.00","1.29"
"5349","先豐","19.38","2.57","5.64","2.58"
"5351","鈺創","N/A","0.00","0.00","1.23"
"5353","台林","29.03","0.28","2.65","0.78"
"5355","佳總","N/A","0.00","0.00","0.53"
"5356","協益","8.85","4.00","10.42","0.89"
"5364","力麗店","72.41","1.00","4.76","1.02"
"5371","中光電","7.65","1.50","5.49","0.64"
"5381","合正","N/A","0.00","0.00","0.74"
"5383","金利","N/A","0.00","0.00","0.89"
"5384","捷元","32.92","0.50","4.22","0.89"
"5386","青雲","9.65","2.00","8.06","1.81"
"5392","應華","205.36","1.00","1.74","1.30"
"5398","力瑋","N/A","0.00","0.00","3.53"
"5403","中菲","9.81","2.60","9.04","1.44"
"5410","國眾","9.03","1.22","9.31","1.03"
"5425","台半","11.91","2.50","6.38","1.62"
"5426","振發","16.69","0.60","4.67","0.82"
"5432","達威","15.30","0.00","0.00","1.15"
"5438","東友","6.90","1.20","10.17","0.72"
"5439","高技","15.79","1.50","5.34","1.73"
"5443","均豪","13.86","1.00","5.68","1.24"
"5450","寶聯通","N/A","0.00","0.00","1.00"
"5452","佶優","37.58","0.20","1.72","0.89"
"5455","訊利電","N/A","0.00","0.00","2.91"
"5457","宣德","27.70","0.50","1.77","2.48"
"5460","同協","12.53","0.80","6.45","0.89"
"5464","霖宏","12.66","1.50","9.26","0.93"
"5465","富驊","64.76","0.26","1.94","1.23"
"5468","凱鈺","N/A","0.00","0.00","0.86"
"5474","聰泰","9.37","4.20","7.06","2.78"
"5475","德宏","N/A","0.00","0.00","0.44"
"5478","智冠","28.70","1.50","2.26","1.51"
"5480","統盟","9.48","0.50","4.98","0.48"
"5481","華韡","N/A","0.00","0.00","1.41"
"5483","中美晶","39.89","1.50","4.09","0.90"
"5487","通泰","15.60","1.70","6.85","1.12"
"5488","松普","N/A","0.00","0.00","0.60"
"5489","彩富","11.36","3.50","8.15","1.94"
"5490","同亨","11.46","4.50","7.73","2.90"
"5491","連展","N/A","0.00","0.00","0.43"
"5493","三聯","10.13","2.20","6.96","1.49"
"5498","凱崴","N/A","0.00","0.00","0.80"
"5508","永信建","14.09","2.37","8.49","1.41"
"5511","德昌","13.50","0.60","2.61","1.04"
"5512","力麒","57.40","0.51","5.89","0.47"
"5514","三豐","74.67","0.00","0.00","0.70"
"5516","雙喜","N/A","0.00","0.00","0.83"
"5520","力泰","13.74","1.50","5.71","0.99"
"5523","豐謙","N/A","0.00","0.00","0.73"
"5529","志嘉","N/A","0.00","0.00","0.92"
"5530","龍巖","22.80","3.60","6.22","2.65"
"5536","聖暉","8.83","6.00","7.33","1.29"
"5543","崇佑-KY","15.00","0.00","0.00","1.08"
"5601","台聯櫃","106.46","0.50","1.96","1.20"
"5603","陸海","9.86","1.10","7.75","0.93"
"5604","中連貨","9.04","3.20","9.41","1.50"
"5609","中菲行","13.89","1.02","5.83","1.10"
"5701","劍湖山","N/A","0.00","0.00","0.43"
"5703","亞都","28.18","0.50","2.30","1.63"
"5704","老爺知","26.67","1.00","3.57","2.23"
"5820","日盛金","13.41","0.54","7.86","0.61"
"5878","台名","14.83","3.00","6.74","2.30"
"5902","德記","45.56","0.00","0.00","1.79"
"5903","全家","36.73","4.60","2.22","9.59"
"5904","寶雅","36.19","8.90","2.44","11.67"
"5905","南仁湖","20.32","0.30","3.99","0.62"
"6015","宏遠證","N/A","0.00","0.00","0.54"
"6016","康和證","15.34","0.20","3.18","0.53"
"6020","大展證","308.75","0.00","0.00","0.85"
"6021","大慶證","N/A","0.00","0.00","0.60"
"6022","大眾證","21.26","0.28","3.44","0.63"
"6023","元大期","9.93","2.28","6.22","1.20"
"6024","群益期","8.57","2.47","6.80","1.44"
"6026","福邦證","19.83","0.30","3.69","0.72"
"6101","弘捷","N/A","0.00","0.00","1.66"
"6103","合邦","325.00","0.00","0.00","10.40"
"6104","創惟","13.65","3.00","8.58","2.03"
"6105","瑞傳","11.72","2.94","5.40","1.38"
"6107","華美","32.04","2.50","2.61","5.92"
"6109","亞元","7.07","1.20","10.17","0.95"
"6111","大宇資","80.99","0.00","0.00","7.61"
"6113","亞矽","N/A","0.00","0.00","0.72"
"6114","久威","6.39","3.50","7.73","2.01"
"6118","建達","26.48","0.00","0.00","0.56"
"6121","新普","11.99","7.00","6.01","1.64"
"6122","擎邦","N/A","0.00","0.00","0.57"
"6123","上奇","9.95","2.08","6.56","1.48"
"6124","業強","N/A","0.00","0.00","1.36"
"6125","廣運","30.77","0.50","4.17","0.60"
"6126","信音","N/A","0.00","0.00","0.87"
"6127","九豪","36.96","0.00","0.00","0.76"
"6129","普誠","N/A","0.00","0.00","0.67"
"6130","基因","N/A","0.00","0.00","2.32"
"6134","萬旭","N/A","0.00","0.00","1.84"
"6138","茂達","16.38","1.50","5.17","1.59"
"6140","訊達","N/A","0.00","0.00","1.04"
"6143","振曜","17.68","2.00","2.73","2.90"
"6144","得利影","N/A","0.00","0.00","1.22"
"6146","耕興","20.37","6.10","3.58","4.67"
"6147","頎邦","15.83","2.10","5.02","1.15"
"6148","驊宏資","N/A","0.00","0.00","0.65"
"6150","撼訊","N/A","0.00","0.00","1.52"
"6151","晉倫","8.60","2.20","9.44","1.25"
"6154","順發","14.68","1.00","6.13","1.01"
"6156","松上","7.96","0.30","2.08","1.16"
"6158","禾昌","28.53","0.49","3.35","0.59"
"6160","欣技","23.58","1.00","3.16","2.19"
"6161","捷波","21.03","0.20","2.88","0.55"
"6163","華電網","N/A","0.00","0.00","0.86"
"6167","久正","11.55","0.00","0.00","1.20"
"6169","昱泉","N/A","0.00","0.00","2.20"
"6170","統振","29.19","0.43","3.97","0.82"
"6171","亞銳士","5.68","0.20","1.85","0.75"
"6173","信昌電","17.05","0.35","2.34","0.98"
"6174","安碁","15.52","1.00","6.64","1.26"
"6175","立敦","31.83","0.30","2.30","0.88"
"6179","亞通","11.81","2.60","7.31","2.54"
"6180","橘子","59.06","1.20","3.83","1.82"
"6182","合晶","N/A","0.00","0.00","0.66"
"6185","幃翔","7.28","2.00","10.70","0.92"
"6186","新潤","4.24","3.50","14.29","1.16"
"6187","萬潤","28.88","2.00","3.11","3.17"
"6188","廣明","16.21","1.20","5.11","0.76"
"6190","萬泰科","N/A","0.00","0.00","0.76"
"6194","育富","N/A","0.75","4.59","0.56"
"6195","詩肯","10.91","3.50","7.88","2.27"
"6198","凌泰","N/A","0.00","0.00","4.65"
"6199","天品","42.18","0.00","0.00","1.48"
"6203","海韻電","11.93","2.00","6.23","1.69"
"6204","艾華","21.46","0.70","3.29","0.88"
"6207","雷科","9.14","2.50","11.79","1.16"
"6208","日揚","17.04","0.20","1.65","0.80"
"6210","慶生","9.85","4.00","9.21","1.86"
"6212","理銘","4.56","1.50","5.04","1.80"
